,duration,Max no. resources in a week,Sum of activities delays,network,activities start times,activities end times,activities durations,resources allocation
0,17,12,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 3, 'G': 7, 'C': 0, 'D': 9, 'E': 12}","{'A': 10, 'B': 17, 'F': 7, 'G': 9, 'C': 6, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 4, 10, 12, 12, 12, 8, 12, 12, 11, 9, 4, 10, 10, 10, 4, 4]"
1,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 7, 'C': 2, 'D': 9, 'E': 11}","{'A': 10, 'B': 17, 'F': 5, 'G': 9, 'C': 8, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 12, 12, 12, 10, 10, 16, 12, 11, 9, 10, 10, 10, 4, 4, 4]"
2,17,17,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 2, 'G': 8, 'C': 2, 'D': 8, 'E': 10}","{'A': 10, 'B': 17, 'F': 6, 'G': 10, 'C': 8, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 0, 12, 12, 12, 12, 10, 10, 17, 17, 10, 10, 10, 4, 4, 4, 4]"
3,16,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 5, 'C': 2, 'D': 9, 'E': 13}","{'A': 9, 'B': 16, 'F': 5, 'G': 7, 'C': 8, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 12, 12, 12, 16, 16, 10, 6, 9, 9, 4, 4, 10, 10, 10]"
4,17,12,5,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 6, 'C': 0, 'D': 8, 'E': 10}","{'A': 8, 'B': 17, 'F': 4, 'G': 8, 'C': 6, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 10, 10, 12, 12, 5, 5, 10, 10, 10, 4, 4, 4, 4]"
5,16,12,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 7, 'C': 1, 'D': 9, 'E': 11}","{'A': 9, 'B': 16, 'F': 4, 'G': 9, 'C': 7, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 10, 10, 10, 12, 12, 9, 9, 10, 10, 10, 4, 4]"
6,17,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 5, 'C': 2, 'D': 9, 'E': 12}","{'A': 8, 'B': 17, 'F': 5, 'G': 7, 'C': 8, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 16, 16, 10, 0, 5, 9, 4, 10, 10, 10, 4, 4]"
7,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 1, 'G': 7, 'C': 2, 'D': 8, 'E': 13}","{'A': 8, 'B': 16, 'F': 5, 'G': 9, 'C': 8, 'D': 10, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 10, 16, 11, 9, 4, 4, 4, 10, 10, 10]"
8,16,12,5,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 3, 'G': 7, 'C': 0, 'D': 8, 'E': 10}","{'A': 8, 'B': 16, 'F': 7, 'G': 9, 'C': 6, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 10, 10, 12, 12, 12, 8, 12, 11, 9, 10, 10, 10, 4, 4, 4]"
9,17,17,10,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 4, 'G': 8, 'C': 0, 'D': 7, 'E': 12}","{'A': 10, 'B': 17, 'F': 8, 'G': 10, 'C': 6, 'D': 9, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 4, 10, 10, 12, 12, 8, 13, 17, 12, 4, 4, 10, 10, 10, 4, 4]"
10,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 3, 'G': 7, 'C': 2, 'D': 10, 'E': 13}","{'A': 8, 'B': 17, 'F': 7, 'G': 9, 'C': 8, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 10, 12, 12, 12, 12, 16, 6, 0, 9, 9, 4, 10, 10, 10, 4]"
11,16,16,5,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 5, 'C': 2, 'D': 9, 'E': 11}","{'A': 9, 'B': 16, 'F': 4, 'G': 7, 'C': 8, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 16, 16, 10, 6, 9, 9, 10, 10, 10, 4, 4]"
12,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 7, 'C': 3, 'D': 9, 'E': 12}","{'A': 9, 'B': 16, 'F': 5, 'G': 9, 'C': 9, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 8, 12, 12, 10, 10, 16, 16, 9, 9, 4, 10, 10, 10, 4]"
13,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 5, 'C': 2, 'D': 9, 'E': 14}","{'A': 8, 'B': 17, 'F': 4, 'G': 7, 'C': 8, 'D': 11, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 12, 12, 10, 16, 16, 10, 0, 5, 9, 4, 4, 4, 10, 10, 10]"
14,16,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 2, 'G': 7, 'C': 2, 'D': 8, 'E': 11}","{'A': 8, 'B': 16, 'F': 6, 'G': 9, 'C': 8, 'D': 10, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 10, 16, 11, 9, 4, 10, 10, 10, 4, 4]"
15,17,13,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 4, 'G': 8, 'C': 0, 'D': 6, 'E': 10}","{'A': 9, 'B': 17, 'F': 8, 'G': 10, 'C': 6, 'D': 8, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 10, 10, 10, 12, 12, 13, 13, 12, 6, 10, 10, 10, 4, 4, 4, 4]"
16,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 2, 'D': 8, 'E': 13}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 8, 'D': 10, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 12, 12, 12, 16, 16, 10, 11, 11, 4, 4, 4, 10, 10, 10, 4]"
17,17,12,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 2, 'G': 8, 'C': 0, 'D': 9, 'E': 12}","{'A': 8, 'B': 17, 'F': 6, 'G': 10, 'C': 6, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 10, 12, 12, 12, 12, 6, 6, 6, 11, 9, 4, 10, 10, 10, 4, 4]"
18,17,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 4, 'C': 4, 'D': 11, 'E': 14}","{'A': 8, 'B': 17, 'F': 4, 'G': 6, 'C': 10, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 8, 16, 16, 10, 10, 4, 4, 4, 9, 9, 4, 10, 10, 10]"
19,15,17,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 6, 'C': 0, 'D': 6, 'E': 10}","{'A': 8, 'B': 15, 'F': 4, 'G': 8, 'C': 6, 'D': 8, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 10, 10, 17, 17, 4, 4, 10, 10, 10, 4, 4]"
20,17,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 5, 'C': 0, 'D': 7, 'E': 12}","{'A': 8, 'B': 17, 'F': 5, 'G': 7, 'C': 6, 'D': 9, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 12, 12, 12, 12, 16, 12, 11, 5, 0, 4, 4, 10, 10, 10, 4, 4]"
21,17,12,12,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 8, 'C': 2, 'D': 10, 'E': 14}","{'A': 10, 'B': 17, 'F': 4, 'G': 10, 'C': 8, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 12, 12, 10, 10, 10, 10, 12, 12, 9, 9, 4, 4, 10, 10, 10]"
22,16,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 7, 'C': 2, 'D': 10, 'E': 13}","{'A': 9, 'B': 16, 'F': 4, 'G': 9, 'C': 8, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 10, 10, 16, 12, 4, 9, 9, 4, 10, 10, 10]"
23,16,12,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 7, 'C': 0, 'D': 10, 'E': 12}","{'A': 9, 'B': 16, 'F': 6, 'G': 9, 'C': 6, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 10, 12, 12, 12, 12, 6, 12, 12, 4, 9, 9, 10, 10, 10, 4]"
24,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 3, 'G': 7, 'C': 3, 'D': 11, 'E': 14}","{'A': 8, 'B': 16, 'F': 7, 'G': 9, 'C': 9, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 6, 12, 12, 12, 12, 16, 10, 4, 4, 9, 9, 4, 10, 10, 6]"
25,16,17,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 6, 'C': 1, 'D': 7, 'E': 9}","{'A': 9, 'B': 16, 'F': 6, 'G': 8, 'C': 7, 'D': 9, 'E': 12}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 10, 12, 12, 12, 12, 16, 17, 11, 10, 10, 10, 4, 4, 4, 4]"
26,15,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 4, 'C': 1, 'D': 8, 'E': 12}","{'A': 8, 'B': 15, 'F': 4, 'G': 6, 'C': 7, 'D': 10, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 12, 12, 12, 16, 16, 10, 6, 9, 9, 4, 4, 10, 10, 10]"
27,17,17,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 7, 'C': 1, 'D': 7, 'E': 12}","{'A': 8, 'B': 17, 'F': 5, 'G': 9, 'C': 7, 'D': 9, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 12, 12, 12, 12, 10, 10, 17, 11, 0, 4, 4, 10, 10, 10, 4, 4]"
28,17,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 2, 'G': 6, 'C': 1, 'D': 10, 'E': 12}","{'A': 8, 'B': 17, 'F': 6, 'G': 8, 'C': 7, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 10, 12, 12, 12, 12, 16, 12, 0, 0, 9, 9, 10, 10, 10, 4, 4]"
29,17,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 5, 'C': 0, 'D': 7, 'E': 10}","{'A': 8, 'B': 17, 'F': 4, 'G': 7, 'C': 6, 'D': 9, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 10, 16, 12, 11, 5, 0, 10, 10, 10, 4, 4, 4, 4]"
30,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 4, 'C': 5, 'D': 11, 'E': 14}","{'A': 10, 'B': 17, 'F': 4, 'G': 6, 'C': 11, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 8, 8, 12, 16, 10, 10, 10, 10, 8, 9, 9, 4, 10, 10, 10]"
31,17,12,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 4, 'G': 8, 'C': 1, 'D': 9, 'E': 11}","{'A': 8, 'B': 17, 'F': 8, 'G': 10, 'C': 7, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 10, 10, 10, 12, 12, 12, 8, 6, 11, 9, 10, 10, 10, 4, 4, 4]"
32,17,17,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 3, 'G': 8, 'C': 1, 'D': 8, 'E': 10}","{'A': 10, 'B': 17, 'F': 7, 'G': 10, 'C': 7, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 4, 10, 12, 12, 12, 12, 6, 17, 17, 10, 10, 10, 4, 4, 4, 4]"
33,17,17,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 2, 'G': 8, 'C': 0, 'D': 7, 'E': 9}","{'A': 9, 'B': 17, 'F': 6, 'G': 10, 'C': 6, 'D': 9, 'E': 12}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 10, 12, 12, 12, 12, 6, 11, 17, 12, 10, 10, 4, 4, 4, 4, 4]"
34,17,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 4, 'C': 0, 'D': 6, 'E': 10}","{'A': 10, 'B': 17, 'F': 4, 'G': 6, 'C': 6, 'D': 8, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 16, 16, 11, 11, 6, 6, 10, 10, 10, 4, 4, 4, 4]"
35,17,17,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 7, 'C': 1, 'D': 7, 'E': 10}","{'A': 8, 'B': 17, 'F': 4, 'G': 9, 'C': 7, 'D': 9, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 12, 12, 12, 10, 10, 10, 17, 11, 0, 10, 10, 10, 4, 4, 4, 4]"
36,16,17,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 7, 'C': 1, 'D': 7, 'E': 10}","{'A': 9, 'B': 16, 'F': 4, 'G': 9, 'C': 7, 'D': 9, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 10, 10, 10, 17, 17, 4, 10, 10, 10, 4, 4, 4]"
37,16,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 1, 'G': 7, 'C': 2, 'D': 10, 'E': 12}","{'A': 8, 'B': 16, 'F': 5, 'G': 9, 'C': 8, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 10, 16, 6, 4, 9, 9, 10, 10, 10, 4]"
38,16,17,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 3, 'G': 7, 'C': 0, 'D': 6, 'E': 9}","{'A': 8, 'B': 16, 'F': 7, 'G': 9, 'C': 6, 'D': 8, 'E': 12}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 10, 10, 12, 12, 12, 13, 17, 6, 10, 10, 10, 4, 4, 4, 4]"
39,17,17,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 4, 'G': 8, 'C': 0, 'D': 9, 'E': 11}","{'A': 10, 'B': 17, 'F': 8, 'G': 10, 'C': 6, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 4, 10, 10, 12, 12, 8, 8, 12, 17, 9, 10, 10, 10, 4, 4, 4]"
40,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 5, 'C': 5, 'D': 12, 'E': 14}","{'A': 9, 'B': 16, 'F': 5, 'G': 7, 'C': 11, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 8, 8, 8, 16, 16, 10, 10, 8, 8, 4, 9, 9, 10, 10, 6]"
41,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 6, 'C': 1, 'D': 8, 'E': 12}","{'A': 10, 'B': 17, 'F': 4, 'G': 8, 'C': 7, 'D': 10, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 6, 12, 12, 10, 10, 16, 12, 11, 11, 4, 4, 10, 10, 10, 4, 4]"
42,15,17,3,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 1, 'G': 6, 'C': 0, 'D': 7, 'E': 9}","{'A': 8, 'B': 15, 'F': 5, 'G': 8, 'C': 6, 'D': 9, 'E': 12}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 12, 12, 12, 12, 10, 12, 17, 9, 10, 10, 10, 4, 4, 4]"
43,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 5, 'C': 2, 'D': 11, 'E': 14}","{'A': 9, 'B': 16, 'F': 4, 'G': 7, 'C': 8, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 16, 16, 10, 6, 4, 4, 9, 9, 4, 10, 10, 6]"
44,17,17,10,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 2, 'G': 7, 'C': 2, 'D': 8, 'E': 13}","{'A': 10, 'B': 17, 'F': 6, 'G': 9, 'C': 8, 'D': 10, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 0, 12, 12, 12, 12, 10, 16, 17, 11, 4, 4, 4, 10, 10, 10, 4]"
45,16,17,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 3, 'G': 7, 'C': 1, 'D': 7, 'E': 12}","{'A': 9, 'B': 16, 'F': 7, 'G': 9, 'C': 7, 'D': 9, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 10, 10, 12, 12, 12, 12, 17, 17, 4, 4, 4, 10, 10, 10, 4]"
46,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 2, 'G': 7, 'C': 2, 'D': 10, 'E': 14}","{'A': 8, 'B': 16, 'F': 6, 'G': 9, 'C': 8, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 10, 16, 6, 4, 9, 9, 4, 4, 10, 10, 6]"
47,15,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 4, 'C': 3, 'D': 10, 'E': 12}","{'A': 8, 'B': 15, 'F': 4, 'G': 6, 'C': 9, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 12, 16, 16, 10, 10, 8, 4, 9, 9, 10, 10, 10]"
48,17,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 2, 'D': 10, 'E': 12}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 8, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 12, 12, 12, 16, 16, 10, 6, 6, 9, 9, 10, 10, 10, 4, 4]"
49,17,12,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 6, 'C': 0, 'D': 10, 'E': 12}","{'A': 8, 'B': 17, 'F': 5, 'G': 8, 'C': 6, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 12, 12, 12, 12, 10, 12, 12, 0, 0, 9, 9, 10, 10, 10, 4, 4]"
50,17,12,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 2, 'G': 8, 'C': 0, 'D': 7, 'E': 11}","{'A': 8, 'B': 17, 'F': 6, 'G': 10, 'C': 6, 'D': 9, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[10, 10, 12, 12, 12, 12, 6, 11, 11, 6, 4, 10, 10, 10, 4, 4, 4]"
51,17,12,10,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 0, 'G': 8, 'C': 1, 'D': 9, 'E': 13}","{'A': 9, 'B': 17, 'F': 4, 'G': 10, 'C': 7, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 10, 10, 10, 6, 12, 11, 9, 4, 4, 10, 10, 10, 4]"
52,17,12,10,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 2, 'G': 8, 'C': 2, 'D': 9, 'E': 13}","{'A': 9, 'B': 17, 'F': 6, 'G': 10, 'C': 8, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 12, 12, 12, 12, 10, 10, 12, 11, 9, 4, 4, 10, 10, 10, 4]"
53,16,17,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 7, 'C': 2, 'D': 8, 'E': 12}","{'A': 9, 'B': 16, 'F': 5, 'G': 9, 'C': 8, 'D': 10, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 12, 12, 12, 10, 10, 16, 17, 9, 4, 4, 10, 10, 10, 4]"
54,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 2, 'G': 7, 'C': 3, 'D': 9, 'E': 13}","{'A': 8, 'B': 16, 'F': 6, 'G': 9, 'C': 9, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 8, 12, 12, 12, 10, 16, 10, 9, 9, 4, 4, 10, 10, 10]"
55,17,17,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 2, 'G': 8, 'C': 0, 'D': 8, 'E': 11}","{'A': 10, 'B': 17, 'F': 6, 'G': 10, 'C': 6, 'D': 10, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 4, 12, 12, 12, 12, 6, 6, 17, 17, 4, 10, 10, 10, 4, 4, 4]"
